,0
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,1
